meanfreq;sd;median;Q25;Q75;IQR;skew;kurt;sp.ent;sfm;mode;centroid;meanfun;minfun;maxfun;meandom;mindom;maxdom;dfrange;modindx;label
0.0597809849598081;0.0642412677031359;0.032026913372582;0.0150714886459209;0.0901934398654331;0.0751219512195122;128.634.618.371.626;274.402.905.502.067;0.893369416700807;0.491917766397811;0;0.0597809849598081;0.084279106440321;0.0157016683022571;0.275862068965517;0.0078125;0.0078125;0.0078125;0;0;male
0.066008740387572;0.0673100287952527;0.040228734810579;0.0194138670478914;0.0926661901358113;0.0732523230879199;224.232.853.628.204;634.613.854.542.068;0.892193242265734;0.513723842537073;0;0.066008740387572;0.107936553670454;0.0158259149357072;0.25;0.00901442307692308;0.0078125;0.0546875;0.046875;0.0526315789473684;male
0.0773155026958227;0.0838294209445061;0.0367184586699814;0.00870105655686762;0.131908017402113;0.123206960845246;307.571.545.800.584;1.024.927.704.721;0.846389091878782;0.478904979116727;0;0.0773155026958227;0.0987062615673936;0.0156555772994129;0.271186440677966;0.00799005681818182;0.0078125;0.015625;0.0078125;0.0465116279069767;male
0.151228091724635;0.0721105872627985;0.158011187072716;0.0965817277812306;0.207955251709136;0.111373523927906;123.283.127.554.372;417.729.621.025.317;0.963322461535984;0.727231798861951;0.0838781852082039;0.151228091724635;0.0889648485504597;0.017797552836485;0.25;0.201497395833333;0.0078125;0.5625;0.5546875;0.247119078104994;male
0.135120387296677;0.0791461004935869;0.124656228727025;0.0787202178352621;0.206044928522805;0.127324710687543;110.117.366.551.545;43.337.131.547.091;0.971955076212905;0.783568057553871;0.1042614023145;0.135120387296677;0.106397844620363;0.0169312169312169;0.266666666666667;0.7128125;0.0078125;5.484.375;54.765.625;0.208273894436519;male
0.132786407306188;0.0795568659729794;0.119089848308051;0.0679579929988331;0.209591598599767;0.141633605600933;193.256.243.208.397;830.889.503.672.364;0.96318134631677;0.73830700448564;0.112555425904317;0.132786407306188;0.110131920122721;0.0171122994652406;0.253968253968254;0.298221982758621;0.0078125;27.265.625;271.875;0.125159642401022;male
0.150762330177465;0.0744632052034133;0.160106382978723;0.0928989361702128;0.205718085106383;0.11281914893617;153.064.323.137.138;598.749.765.804.991;0.967573069931702;0.762637670276566;0.0861968085106383;0.150762330177465;0.105944515254121;0.0262295081967213;0.266666666666667;0.479619565217391;0.0078125;53.125;53.046.875;0.123991864787152;male
0.160514332166817;0.0767668848761485;0.144336775218427;0.110532168387609;0.231961874503574;0.121429706115965;139.715.636.508.704;476.661.069.503.212;0.959254569785851;0.719857907046562;0.128324066719619;0.160514332166817;0.093052430337196;0.0177580466148724;0.144144144144144;0.301339285714286;0.0078125;0.5390625;0.53125;0.28393665158371;male
0.142239416807037;0.0780184624458836;0.138587443946188;0.0882062780269058;0.208587443946188;0.120381165919283;109.974.615.121.553;407.028.370.586.557;0.97072293218034;0.770992054490076;0.219103139013453;0.142239416807037;0.0967289462068476;0.0179573512906846;0.25;0.336476293103448;0.0078125;21.640.625;215.625;0.148272017837235;male
0.134328777309825;0.0803500276143771;0.121451346893898;0.0755799890049478;0.201957119296317;0.126377130291369;119.036.844.433.836;478.730.983.303.407;0.975246142524797;0.804505253038031;0.011698735568994;0.134328777309825;0.105880926304665;0.0193003618817853;0.262295081967213;0.340364583333333;0.015625;46.953.125;46.796.875;0.0899199815784929;male
0.157020511056795;0.0719429306811688;0.168160152526215;0.101429933269781;0.2167397521449;0.115309818875119;0.97944227542161;397.422.262.552.131;0.96524913928741;0.733692877928757;0.0963584366062917;0.157020511056795;0.0888939829948002;0.0220689655172414;0.117647058823529;0.460227272727273;0.0078125;28.125;28.046.875;0.2;male
0.138550521389033;0.0770539929982884;0.127526595744681;0.087313829787234;0.202739361702128;0.115425531914894;162.676.986.679.461;629.136.507.870.849;0.966003775055692;0.752042012692436;0.0121010638297872;0.138550521389033;0.104199318686673;0.0191387559808612;0.262295081967213;0.24609375;0.0078125;271.875;27.109.375;0.132351371544455;male
0.137342741880723;0.0808767069335911;0.124262508122157;0.0831448992852502;0.209226770630279;0.126081871345029;137.872.820.350.982;500.895.162.500.433;0.96351352778845;0.736149955067445;0.108434048083171;0.137342741880723;0.0926440193108201;0.0167890870933893;0.213333333333333;0.481670673076923;0.015625;5.015.625;5;0.0885;male
0.181225459373767;0.0600420545194889;0.190953206239168;0.128838821490468;0.229532062391681;0.100693240901213;136.943.045.758.527;547.559.978.801.453;0.937445760468646;0.537079994941026;0.219826689774697;0.181225459373767;0.131503722276956;0.025;0.275862068965517;127.711.397.058.824;0.0078125;28.046.875;2.796.875;0.416550279329609;male
0.183115280687352;0.0669823503730641;0.191232528589581;0.129148665819568;0.240152477763659;0.111003811944091;356.810.402.353.109;353.847.484.526.494;0.940332622910243;0.57139420151872;0.049987293519695;0.183115280687352;0.102798695064569;0.0208333333333333;0.275862068965517;124.573.863.636.364;0.203125;67.421.875;65.390.625;0.139331767807852;male
0.174272105181833;0.0694110453235828;0.190874106652007;0.115601979109401;0.228279274326553;0.112677295217152;448.503.835.015.822;617.649.083.141.473;0.950972024663856;0.635199178449614;0.0500274876305662;0.174272105181833;0.102045991451092;0.0183276059564719;0.246153846153846;162.129.934.210.526;0.0078125;7;69.921.875;0.209310986964618;male
0.190846297652897;0.0657902823878029;0.207950987066031;0.132280462899932;0.244356705241661;0.112076242341729;156.230.368.302.863;783.434.988.641.618;0.938546013440116;0.538809584118407;0.0501293396868618;0.190846297652897;0.113322801479182;0.0175438596491228;0.275862068965517;143.411.458.333.333;0.0078125;63.203.125;63.125;0.25477978832366;male
